File Name,Full Path,Size (bytes),Metadata Changed,Modified,Accessed,Permissions,SHA256 Hash,Detected File Type,Extension Mismatch,Entropy Score,Data Size Checked,Suspicious Strings,Suspicious Location,Blacklist Match,Suspicious,Reason
suspicious.sh,/home/kali/cyber_forensics/fake_case/suspicious.sh,92,2026-05-31 13:16:29.759307,2026-05-31 13:16:29.759307,2026-05-31 13:08:13.303580,0o664,6c1924dc532798af4a5065ee557fc2179a8a512b4ef53bc1a289253ece345f59,Unknown,NO,4.6257 — MEDIUM (Compressed or mixed),92 bytes,"wget , curl , base64, http://, payload, botnet",NO,None,YES,"Suspicious extension (.sh) | Suspicious strings: wget , curl , base64, http://, payload"
normal_doc.pdf,/home/kali/cyber_forensics/fake_case/normal_doc.pdf,46,2026-05-31 13:16:21.659621,2026-05-31 13:16:21.659621,2026-05-31 13:07:58.414557,0o664,7c45f3b2bbfef26f7fab2807d9563c6c79922074470aeb780c593bf185cecb99,Unknown,NO,4.249 — MEDIUM (Compressed or mixed),46 bytes,None,NO,None,NO,Clean
invoice.jpg,/home/kali/cyber_forensics/fake_case/invoice.jpg,8,2026-05-31 13:16:02.557439,2026-05-31 13:16:02.557439,2026-05-31 13:06:31.192552,0o664,2e383fddf78d1acc795830f56b4ec6464e408c418e67add6fa4c017afa618963,PE Executable,YES,2.0 — LOW (Normal text/data),8 bytes,None,NO,None,YES,Extension mismatch — file is actually PE Executable
cleanup.bat,/home/kali/cyber_forensics/fake_case/cleanup.bat,59,2026-05-31 13:07:47.553810,2026-05-31 13:07:47.553810,2026-05-31 13:07:47.553810,0o664,13d01d956e83c3ad5589137e447fe07f0a293017a88494a30c9459551afad2b1,Unknown,NO,4.5555 — MEDIUM (Compressed or mixed),59 bytes,HKEY_,NO,None,YES,Suspicious extension (.bat) | Suspicious strings: HKEY_
payload.exe,/home/kali/cyber_forensics/fake_case/payload.exe,0,2026-05-31 13:07:39.197236,2026-05-31 13:07:39.197236,2026-05-31 13:07:39.197236,0o664,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Unknown,NO,0.0 — LOW (Normal text/data),0 bytes,None,NO,Empty file / possible placeholder,YES,KNOWN MALICIOUS HASH: Empty file / possible placeholder | Suspicious extension (.exe)
photo.png,/home/kali/cyber_forensics/fake_case/photo.png,8,2026-05-31 13:16:12.409099,2026-05-31 13:16:12.409099,2026-05-31 13:08:05.699057,0o664,4c4b6a3be1314ab86138bef4314dde022e600960d8689a2c8f8631802d20dab6,PNG Image,NO,2.75 — LOW (Normal text/data),8 bytes,None,NO,None,NO,Clean
install_log.txt,/home/kali/cyber_forensics/fake_case/suspect_device/install_log.txt,24,2026-04-20 06:10:37.802566,2026-04-20 06:10:37.802566,2026-04-25 06:26:23.237285,0o664,b5910f571f0f286b6a5825a51b06e76435b1ff364b2a5258059b26828b12ec0d,Unknown,NO,3.7202 — MEDIUM (Compressed or mixed),24 bytes,None,NO,None,NO,Clean
suspicious_script.sh,/home/kali/cyber_forensics/fake_case/suspect_device/suspicious_script.sh,0,2026-04-20 06:10:37.802566,2026-04-20 06:10:37.802566,2026-04-25 06:26:23.237285,0o664,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Unknown,NO,0.0 — LOW (Normal text/data),0 bytes,None,NO,Empty file / possible placeholder,YES,KNOWN MALICIOUS HASH: Empty file / possible placeholder | Suspicious extension (.sh)
contacts.csv,/home/kali/cyber_forensics/fake_case/suspect_device/contacts.csv,71,2026-04-20 06:10:37.802566,2026-04-20 06:10:37.802566,2026-04-25 06:26:23.237285,0o664,910c6d30d32306d5ce3ec5867fab4c4ababe768b88783224f3cf0c9de38401b3,Unknown,NO,4.2594 — MEDIUM (Compressed or mixed),71 bytes,None,NO,None,NO,Clean
phishing_message.txt,/home/kali/cyber_forensics/fake_case/suspect_device/phishing_message.txt,82,2026-04-20 06:10:37.802566,2026-04-20 06:10:37.802566,2026-04-25 06:26:23.237285,0o664,d53744628eca8c200cfd0768b9c6c45c9f9def6476ba223075434bf30895f96c,Unknown,NO,4.7063 — MEDIUM (Compressed or mixed),82 bytes,http://,NO,None,YES,Suspicious strings: http://
transaction_log.txt,/home/kali/cyber_forensics/fake_case/suspect_device/transaction_log.txt,93,2026-04-20 06:10:37.802566,2026-04-20 06:10:37.802566,2026-04-25 06:26:23.237285,0o664,7c61761084e0d1f3dde7b86bea5c0c56551414be766d2ea79e584269c1fb17d2,Unknown,NO,4.8697 — MEDIUM (Compressed or mixed),93 bytes,None,NO,None,NO,Clean
cleanup.bat,/home/kali/cyber_forensics/fake_case/suspect_device/cleanup.bat,16,2026-04-20 06:10:37.802566,2026-04-20 06:10:37.802566,2026-04-25 06:26:23.237285,0o664,1f33b5bca10d5cce81fe99d083e3caf55339f4ed394cc524ac2df1a743532469,Unknown,NO,2.9056 — LOW (Normal text/data),16 bytes,None,NO,None,YES,Suspicious extension (.bat)
payload.exe,/home/kali/cyber_forensics/fake_case/suspect_device/payload.exe,0,2026-04-20 06:10:37.804856,2026-04-20 06:10:37.804856,2026-04-25 06:26:23.237285,0o664,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Unknown,NO,0.0 — LOW (Normal text/data),0 bytes,None,NO,Empty file / possible placeholder,YES,KNOWN MALICIOUS HASH: Empty file / possible placeholder | Suspicious extension (.exe)
